date,price_lkr
1/23/2024,"3,955.00"
1/16/2024,"3,972.50"
1/9/2024,"3,972.50"
1/2/2024,"4,025.00"
12/27/2023,"3,745.00"
12/26/2023,"3,600.00"
12/19/2023,"3,455.00"
12/12/2023,"3,455.00"
12/5/2023,"3,267.50"
11/28/2023,"3,075.00"
11/21/2023,"3,075.00"
11/14/2023,"3,064.50"
11/7/2023,"2,937.50"
10/31/2023,"2,867.50"
10/24/2023,"2,867.50"
10/17/2023,"2,842.50"
10/10/2023,"2,867.50"
10/3/2023,"2,867.50"
9/26/2023,"2,852.50"
9/19/2023,"2,877.50"
9/12/2023,"2,877.50"
9/5/2023,"2,952.50"
8/29/2023,"2,935.00"
8/28/2023,"2,917.50"
8/22/2023,"2,875.00"
8/15/2023,"2,775.00"
8/8/2023,"2,817.50"
8/1/2023,"2,867.50"
7/31/2023,"2,917.50"
7/25/2023,"3,075.00"
7/18/2023,"3,075.00"
7/11/2023,"3,075.00"
7/4/2023,"3,075.00"
6/27/2023,"3,127.50"
6/20/2023,"3,127.50"
6/13/2023,"3,145.00"
6/6/2023,"3,145.00"
5/30/2023,"3,145.00"
5/23/2023,"3,180.00"
5/16/2023,"3,285.00"
5/9/2023,"3,285.00"
5/2/2023,"3,355.00"
4/25/2023,"3,445.00"
4/18/2023,"3,535.00"
4/11/2023,"3,535.00"
4/10/2023,"3,535.00"
4/4/2023,"3,605.00"
3/28/2023,"3,500.00"
3/21/2023,"3,570.00"
3/14/2023,"3,570.00"
3/7/2023,"3,675.00"
2/28/2023,"4,025.00"
2/21/2023,"4,025.00"
2/14/2023,"4,025.00"
2/7/2023,"4,332.50"
1/31/2023,"4,182.50"
1/24/2023,"4,130.00"
1/17/2023,"4,077.50"
1/10/2023,"4,147.50"
1/3/2023,"4,147.50"
12/27/2022,"4,100.00"
12/20/2022,"4,055.00"
12/13/2022,"4,095.00"
12/6/2022,"4,095.00"
12/5/2022,"4,095.00"
11/29/2022,"4,062.50"
11/22/2022,"4,115.00"
11/15/2022,"3,895.00"
11/8/2022,"3,965.00"
11/1/2022,"3,535.00"
10/25/2022,"3,545.00"
10/18/2022,"3,475.00"
10/11/2022,"4,025.00"
10/4/2022,"4,762.50"
9/27/2022,"4,912.50"
9/20/2022,"5,140.00"
9/13/2022,"5,492.50"
9/6/2022,"5,492.50"
8/30/2022,"5,895.00"
8/23/2022,"6,095.00"
8/16/2022,"6,095.00"
8/9/2022,"6,095.00"
8/2/2022,"5,847.50"
7/26/2022,"5,660.00"
7/19/2022,"5,757.50"
7/12/2022,"5,620.00"
7/5/2022,"5,707.50"
6/28/2022,"5,725.00"
6/21/2022,"5,400.00"
6/15/2022,"5,525.00"
6/14/2022,"5,387.50"
6/7/2022,"5,250.00"
5/31/2022,"5,142.50"
5/24/2022,"5,112.50"
5/17/2022,"5,107.50"
5/10/2022,"5,100.00"
5/4/2022,"5,090.00"
5/3/2022,"5,030.00"
4/26/2022,"4,967.50"
4/19/2022,"4,572.50"
4/12/2022,"4,542.50"
4/5/2022,"4,512.50"
3/29/2022,"4,385.00"
3/22/2022,"4,385.00"
3/15/2022,"4,317.50"
3/8/2022,"4,250.00"
3/1/2022,"4,225.00"
2/22/2022,"4,200.00"
2/15/2022,"4,200.00"
2/14/2022,"4,200.00"
2/8/2022,"4,190.00"
2/1/2022,"4,190.00"
1/25/2022,"4,150.00"
1/18/2022,"4,150.00"
1/11/2022,"4,165.00"
1/4/2022,"4,175.00"
12/28/2021,"4,170.00"
12/21/2021,"4,170.00"
12/14/2021,"4,120.00"
12/7/2021,"4,120.00"
11/30/2021,"4,120.00"
11/23/2021,"4,195.00"
11/16/2021,"4,195.00"
11/9/2021,"4,195.00"
11/2/2021,"4,182.50"
10/26/2021,"4,145.00"
10/19/2021,"4,145.00"
10/18/2021,"4,145.00"
10/12/2021,"4,150.00"
10/5/2021,"4,100.00"
9/28/2021,"4,077.50"
9/21/2021,"4,055.00"
9/14/2021,"4,032.50"
9/7/2021,"4,007.50"
8/31/2021,"3,985.00"
8/24/2021,"3,962.50"
8/18/2021,"3,940.00"
8/17/2021,"3,695.00"
8/10/2021,"3,450.00"
8/3/2021,"3,850.00"
7/27/2021,"3,795.00"
7/20/2021,"3,547.50"
7/19/2021,"3,300.00"
7/13/2021,"3,400.00"
7/6/2021,"3,470.00"
6/29/2021,"3,420.00"
6/22/2021,"3,200.00"
6/15/2021,"3,152.50"
6/8/2021,"3,105.00"
6/1/2021,"3,055.00"
5/25/2021,"3,007.50"
5/18/2021,"2,960.00"
5/11/2021,"2,960.00"
5/4/2021,"3,100.00"
4/27/2021,"3,100.00"
4/20/2021,"2,960.00"
4/13/2021,"2,960.00"
4/6/2021,"2,960.00"
3/30/2021,"3,030.00"
3/23/2021,"3,330.00"
3/16/2021,"3,400.00"
3/9/2021,"3,400.00"
3/2/2021,"3,575.00"
2/23/2021,"3,775.00"
2/16/2021,"3,965.00"
2/9/2021,"3,930.00"
2/2/2021,"3,930.00"
1/26/2021,"3,930.00"
1/19/2021,"3,930.00"
1/12/2021,"3,930.00"
1/5/2021,"3,930.00"
12/29/2020,"3,930.00"
12/28/2020,"3,930.00"
12/22/2020,"3,930.00"
12/15/2020,"3,930.00"
12/8/2020,"4,030.00"
12/1/2020,"4,030.00"
11/24/2020,"4,030.00"
11/17/2020,"4,100.00"
11/10/2020,"4,130.00"
11/3/2020,"4,130.00"
10/27/2020,"4,065.00"
10/20/2020,"4,065.00"
10/13/2020,"4,065.00"
10/6/2020,"3,980.00"
9/29/2020,"3,980.00"
9/22/2020,"3,910.00"
9/15/2020,"3,910.00"
9/8/2020,"3,860.00"
9/1/2020,"3,695.00"
8/31/2020,"3,530.00"
8/25/2020,"3,530.00"
8/18/2020,"3,825.00"
8/11/2020,"3,940.00"
8/4/2020,"4,100.00"
7/28/2020,"3,790.00"
7/21/2020,"3,640.00"
7/14/2020,"3,520.00"
7/7/2020,"3,520.00"
6/30/2020,"3,422.50"
6/23/2020,"3,325.00"
6/16/2020,"3,110.00"
6/9/2020,"2,960.00"
6/2/2020,"2,995.00"
5/26/2020,"2,600.00"
5/19/2020,"2,565.00"
5/12/2020,"2,415.00"
5/5/2020,"2,730.00"
4/28/2020,"2,440.00"
4/21/2020,"2,150.00"
4/14/2020,"2,165.00"
4/7/2020,"2,180.00"
3/31/2020,"2,195.00"
3/24/2020,"2,210.00"
3/17/2020,"2,225.00"
3/10/2020,"2,240.00"
3/3/2020,"2,240.00"
2/25/2020,"2,170.00"
2/18/2020,"2,170.00"
2/11/2020,"2,170.00"
2/4/2020,"2,127.50"
2/3/2020,"2,085.00"
1/28/2020,"2,110.00"
1/21/2020,"2,085.00"
1/14/2020,"2,097.50"
1/13/2020,"2,110.00"
1/7/2020,"2,110.00"
12/31/2019,"2,005.00"
12/24/2019,"2,005.00"
12/23/2019,"2,005.00"
12/17/2019,"2,005.00"
12/10/2019,"1,997.50"
12/9/2019,"1,990.00"
12/3/2019,"1,980.00"
11/26/2019,"1,980.00"
11/19/2019,"1,980.00"
11/12/2019,"1,945.00"
11/11/2019,"1,910.00"
11/5/2019,"1,910.00"
10/29/2019,"1,910.00"
10/22/2019,"1,910.00"
10/15/2019,"1,980.00"
10/8/2019,"1,980.00"
10/1/2019,"1,980.00"
9/24/2019,"1,960.00"
9/17/2019,"1,980.00"
9/10/2019,"1,980.00"
9/3/2019,"1,980.00"
8/27/2019,"1,980.00"
8/20/2019,"1,980.00"
8/13/2019,"1,980.00"
8/6/2019,"1,980.00"
7/30/2019,"1,980.00"
7/23/2019,"1,980.00"
7/16/2019,"2,015.00"
7/15/2019,"2,050.00"
7/9/2019,"2,050.00"
7/2/2019,"2,050.00"
6/25/2019,"1,980.00"
6/18/2019,"1,980.00"
6/11/2019,"2,050.00"
6/4/2019,"2,050.00"
6/3/2019,"2,050.00"
5/28/2019,"2,050.00"
5/21/2019,"2,050.00"
5/14/2019,"2,135.00"
5/7/2019,"2,135.00"
4/30/2019,"2,127.50"
4/29/2019,"2,120.00"
4/23/2019,"2,212.50"
4/16/2019,"2,212.50"
4/9/2019,"2,212.50"
4/2/2019,"2,212.50"
3/26/2019,"2,212.50"
3/19/2019,"2,220.00"
3/18/2019,"2,230.00"
3/12/2019,"2,230.00"
3/5/2019,"2,230.00"
2/26/2019,"2,265.00"
2/19/2019,"2,255.00"
2/18/2019,"2,247.50"
2/12/2019,"2,247.50"
2/5/2019,"2,265.00"
1/29/2019,"2,290.00"
1/22/2019,"2,315.00"
1/15/2019,"2,327.50"
1/14/2019,"2,340.00"
1/8/2019,"2,365.00"
1/1/2019,"2,352.50"
12/31/2018,"2,340.00"
12/25/2018,"2,340.00"
12/24/2018,"2,340.00"
12/18/2018,"2,390.00"
12/11/2018,"2,425.00"
12/4/2018,"2,425.00"
11/27/2018,"2,440.00"
11/20/2018,"2,440.00"
11/19/2018,"2,440.00"
11/13/2018,"2,440.00"
11/6/2018,"2,492.50"
11/5/2018,"2,545.00"
10/30/2018,"2,545.00"
10/23/2018,"2,545.00"
10/22/2018,"2,545.00"
10/16/2018,"2,545.00"
10/9/2018,"2,545.00"
10/2/2018,"2,545.00"
9/25/2018,"2,545.00"
9/18/2018,"2,545.00"
9/11/2018,"2,580.00"
9/4/2018,"2,580.00"
8/28/2018,"2,580.00"
8/21/2018,"2,562.50"
8/20/2018,"2,545.00"
8/14/2018,"2,545.00"
8/7/2018,"2,590.00"
7/31/2018,"2,545.00"
7/24/2018,"2,545.00"
7/17/2018,"2,545.00"
7/10/2018,"2,545.00"
7/3/2018,"2,545.00"
6/26/2018,"2,545.00"
6/25/2018,"2,545.00"
6/19/2018,"2,545.00"
6/12/2018,"2,545.00"
6/5/2018,"2,545.00"
5/29/2018,"2,567.50"
5/28/2018,"2,590.00"
5/22/2018,"2,545.00"
5/15/2018,"2,545.00"
5/8/2018,"2,545.00"
5/1/2018,"2,545.00"
4/24/2018,"2,545.00"
4/17/2018,"2,590.00"
4/10/2018,"2,567.50"
4/9/2018,"2,545.00"
4/3/2018,"2,545.00"
3/27/2018,"2,545.00"
3/20/2018,"2,545.00"
3/13/2018,"2,570.00"
3/6/2018,"2,570.00"
2/27/2018,"2,510.00"
2/20/2018,"2,535.00"
2/13/2018,"2,522.50"
2/12/2018,"2,510.00"
2/6/2018,"2,510.00"
1/30/2018,"2,480.00"
1/29/2018,"2,450.00"
1/23/2018,"2,450.00"
1/16/2018,"2,450.00"
1/9/2018,"2,485.00"
1/3/2018,"2,485.00"
1/2/2018,"2,485.00"
12/26/2017,"2,485.00"
12/19/2017,"2,485.00"
12/12/2017,"2,485.00"
12/5/2017,"2,485.00"
11/28/2017,"2,485.00"
11/21/2017,"2,445.00"
11/14/2017,"2,395.00"
11/7/2017,"2,393.00"
10/31/2017,"2,380.00"
10/24/2017,"2,395.00"
10/17/2017,"2,390.00"
10/16/2017,"2,386.00"
10/10/2017,"2,380.00"
10/3/2017,"2,382.50"
9/26/2017,"2,365.00"
9/19/2017,"2,365.00"
9/12/2017,"2,365.00"
9/5/2017,"2,365.00"
9/4/2017,"2,365.00"
8/29/2017,"2,365.00"
8/22/2017,"2,347.50"
8/15/2017,"2,440.00"
8/8/2017,"2,440.00"
8/1/2017,"2,440.00"
7/25/2017,"2,415.00"
7/18/2017,"2,415.00"
7/11/2017,"2,447.50"
7/4/2017,"2,445.00"
6/27/2017,"2,445.00"
6/20/2017,"2,470.00"
6/13/2017,"2,500.00"
6/6/2017,"2,590.00"
5/30/2017,"2,600.00"
5/23/2017,"2,500.00"
5/16/2017,"2,535.00"
5/9/2017,"2,535.00"
5/8/2017,"2,535.00"
5/2/2017,"2,525.00"
4/25/2017,"2,562.50"
4/18/2017,"2,300.00"
4/11/2017,"2,405.00"
4/4/2017,"2,510.00"
3/28/2017,"2,815.00"
3/21/2017,"2,850.00"
3/14/2017,"2,800.00"
3/7/2017,"2,840.00"
2/28/2017,"2,855.00"
2/21/2017,"2,850.00"
2/14/2017,"2,775.00"
2/7/2017,"2,800.00"
1/31/2017,"2,825.00"
1/24/2017,"2,680.00"
1/17/2017,"2,680.00"
1/10/2017,"2,580.00"
1/3/2017,"2,575.00"
